,Unnamed: 0,Clean_Headlines
26,26," 'The six hostages, whose bodies were found in Gaza over the summer, were probably shot in February by their captors as an Israeli strike hit close to the tunnel where they were held, the military said.', 'web_url'"
27,27," 'Can a truce lead to an enduring peace?', 'web_url'"
28,28," 'The fighting has displaced over a million Lebanese and tens of thousands of Israelis, killed more than 3,000 Lebanese and 100 Israelis.', 'web_url'"
29,29," 'After the Israeli government delayed a formal investigation into the Hamas attacks, an alliance of survivors and victims’ families set up their own inquiry. Their scathing findings were released on Tuesday.', 'web_url'"
30,30," 'West Bank residents say Israeli forces are adopting tactics similar to the ones they are deploying in Gaza, including airstrikes and the use of Palestinians as human shields.', 'web_url'"
31,31," 'Israel was targeting a senior Hezbollah commander, but failed to kill him, one Israeli official said. Hezbollah officials said none of the group’s leaders were at the attack site.', 'web_url'"
32,32," 'While Israel and Hezbollah were finalizing a cease-fire to halt the fighting in Lebanon, Israeli strikes killed 33 people in Gaza, according to local health authorities.', 'web_url'"
33,33," 'Plus, the A.I. granny scamming the scammers.', 'web_url'"
34,34," 'At least 20 people were killed and dozens of others were wounded in the strike on Beirut’s Basta neighborhood.', 'web_url'"
35,35," 'The jurisdiction of the court in The Hague can extend beyond member states.', 'web_url'"
36,36," 'The waves of attacks on Sunday came amid diplomatic efforts to reach a cease-fire in the conflict.', 'web_url'"
37,37," 'The wide-scale bombardment continued a day after a U.S. envoy held talks with Israeli officials on a possible cease-fire with Hezbollah militants.', 'web_url'"
38,38," 'As U.S. diplomat Amos Hochstein visited the region to push for a ceasefire, Israel struck Beirut’s southern suburbs and the eastern Bekaa region, and a barrage of rockets fired from Lebanon killed a man in northern Israel.', 'web_url'"
39,39," 'Israel’s failure to tamp down the short-range rocket threat has put pressure on its government to embrace a cease-fire.', 'web_url'"
40,40," 'He was a prominent behind-the-scenes figure in Washington whose career was derailed when he was charged with leaking government secrets. The case was later dropped.', 'web_url'"
41,41," 'Israel’s offensive against Hezbollah and the cease-fire to stop the fighting in Lebanon have left Hamas increasingly isolated.', 'web_url'"
42,42," 'The envoy, Amos Hochstein, was in Israel and planned to meet with Prime Minister Benjamin Netanyahu, seeking a truce in the country’s war with the militant group Hezbollah.', 'web_url'"
43,43," 'Omer Neutra, who had Israeli and U.S. dual citizenship, was doing military service in Israel when Hamas invaded. His parents have been high-profile campaigners for the hostages.', 'web_url'"
44,44," 'The envoy, Amos Hochstein, said an end to the fighting was “within our grasp” after meeting in Beirut with Lebanon’s Parliament speaker, a key interlocutor with Hezbollah.', 'web_url'"
45,45," 'Hamas’s weakened position could leave the territory without any governing institutions.', 'web_url'"
46,46," 'The legislation failed resoundingly but highlighted a growing Democratic divide over whether the United States should withhold some weapons to register its disapproval of Israel’s war tactics.', 'web_url'"
47,47," 'First up is a resolution put forth by Senator Bernie Sanders, a Vermont independent who is Jewish, to deny Israel certain military weapons.', 'web_url'"
48,48," 'So far, direct attacks between the two adversaries have been precise and calculated. Whether that lasts is another question.', 'web_url'"
49,49," 'A speech by the artist at an exhibition of her work was followed by protests from her supporters and an uproar in the news media.', 'web_url'"
50,50," 'Some of the tens of thousands of Israelis displaced by the war with Hezbollah worried whether it was safe to go home.', 'web_url'"
51,51," 'The envoy, Amos Hochstein, held a second day of talks in the Lebanese capital to seek a truce between Israel and Hezbollah. The militant group’s leader said peace now depended on Israel.', 'web_url'"
52,52," 'In the first strikes on Beirut for weeks, at least 10 people were killed and 45 more injured according to Lebanon’s health ministry.', 'web_url'"
53,53," 'Israel’s strikes killed Hezbollah’s de facto spokesman in central Beirut and flattened buildings south of Lebanon’s capital.', 'web_url'"
54,54," 'One of Prime Minister Benjamin Netanyahu’s advisers is accused of leaking a top-secret document to a German tabloid in an attempt to influence public sentiment on hostage negotiations.', 'web_url'"
55,55," 'An I.C.C. arrest warrant for Prime Minister Benjamin Netanyahu over the war in Gaza spurred outrage across Israel’s political spectrum. But in the long term, it’s not a good look for a prime minister.', 'web_url'"
56,56," 'As Israel’s military wages a renewed offensive in the northern part of the enclave, Al Bureij and Nuseirat in central Gaza came under attack.', 'web_url'"
57,57," 'Israel’s bombing campaign has complicated U.S. diplomacy to stop the Israel-Hezbollah war.', 'web_url'"
58,58," 'The Dahiya, an area just outside Beirut, has been a frequent target of airstrikes since Israel stepped up its air war in Lebanon in September.', 'web_url'"
59,59," 'Israel and Hezbollah indicated they were clashing deeper inside Lebanese territory. An escalation could undermine efforts to reach a cease-fire, as Iran’s leader signaled he supported ending the war with Israel.', 'web_url'"
60,60," 'In Israel, the military is now offering to preserve the sperm of soldiers killed in war. Parents and widows are struggling with the decision.', 'web_url'"
61,61," 'Video on social media, verified by The New York Times, captured a large explosion in a densely populated tent camp. The Israeli military said it targeted a loaded weapons launcher.', 'web_url'"
62,62," 'The strikes, the first in weeks inside Lebanon’s capital, forced residents to come to grips with another escalation of fighting between Israel and Hezbollah.', 'web_url'"
63,63," 'Israeli strikes pounded areas in the southern suburbs of Beirut, a day after eight people were killed, according to the authorities, in the northernmost attack on Lebanese soil since the start of the war. Israeli officials said two men were killed in a rocket attack from Lebanon on Tuesday.', 'web_url'"
64,64," 'Asif Rahman, who worked overseas, was arrested on Tuesday by the F.B.I. and faces two counts of violating the Espionage Act.', 'web_url'"
65,65," 'The attack occurred on the same day that Israel bombed sites in the Syrian capital that the Israeli military said were affiliated with a militant group. At least 15 people were killed, Syrian state media reported.', 'web_url'"
66,66," 'A judge revealed more details about how and why an aide to Prime Minister Benjamin Netanyahu gave sensitive information to the news media.', 'web_url'"
67,67," 'The attacks came as Israel’s military has been pounding an area just outside the Lebanese capital with some of the heaviest waves of bombardment in months.', 'web_url'"
68,68," 'The conflict between Israel and Hezbollah has deepened in recent days despite diplomatic efforts to move toward a temporary truce.', 'web_url'"
69,69," 'Israel said its forces had returned to northern Gaza to fight a Hamas resurgence. That has brought a new round of suffering for residents.', 'web_url'"
70,70," 'Mike Huckabee and Steven Witkoff have both made pro-Israel statements. Here’s a closer look at the two men who will help shape Mr. Trump’s approach in the Middle East.', 'web_url'"
71,71," 'The Israeli military said it had been targeting a loaded weapons launcher in the area, where thousands of displaced people are sheltering in a tent camp.', 'web_url'"
72,72," 'The widespread orders across southern Lebanon came amid what appeared to be intensifying efforts to reach a cease-fire.', 'web_url'"
73,73," 'The Biden administration gave Israel 30 days to increase the flow of aid, warning that aid shipments into Gaza in September had reached an alarmingly low level.', 'web_url'"
74,74," 'The State Department said Israel needs to take more steps to improve the situation among Palestinians. The United States had given the country 30 days to meet aid criteria.', 'web_url'"
75,75," 'The move comes just before a Biden administration deadline for Israel to deliver more aid to the enclave or risk a cutoff of military supplies.', 'web_url'"
76,76," 'If confirmed, Mr. Huckabee, a former pastor who has never served as an overseas diplomat, would play a crucial role in helping Mr. Trump try to end the war in Gaza.', 'web_url'"
77,77," 'Antisemitic assaults on visiting Israeli soccer fans, and incendiary chants and attacks by some Israelis"
78,78," 'Dozens of journalists have been killed as a result of the Israeli military in Gaza. The Biden administration is not doing enough to stop it.', 'web_url'"
79,79," 'After the recent violence around an Israeli team’s game in Amsterdam, French leaders insisted on proceeding under security with a France-Israel match, and on showing up, themselves.', 'web_url'"
80,80," 'It was the first sign of Sasha Troufanov since May, when the Palestinian Islamic Jihad militant group posted two videos of him. His family pressed for the release of all the hostages in Gaza.', 'web_url'"
81,81," 'The Israeli leader’s comments came after President-elect Donald J. Trump threatened to take unspecified action unless the hostages held in Gaza are released by Jan. 20.', 'web_url'"
82,82," 'World leaders failed to focus on a permanent solution to the Israeli-Palestinian conflict and risk making the same mistake again, the departing United Nations’ envoy in the region says.', 'web_url'"
83,83," 'Even as Israel bombarded Syria, officials say the U.S. and Gulf countries were working to weaken its president’s alliance with Tehran. Rebels’ shock advance has dampened those hopes.', 'web_url'"
84,84," 'President-elect Donald J. Trump said in a social media post on Monday that the hostages must be released before his inauguration in January.', 'web_url'"
85,85," 'The head of the U.N. agency for Palestinian refugees blamed Israel for failing to ensure safe conditions for delivering relief supplies from the Kerem Shalom crossing.', 'web_url'"
86,86," 'Ruth Patir refused to display her video installation at the Israel pavilion until a cease-fire and hostage agreement was reached. “(M)otherland” will debut in Tel Aviv.', 'web_url'"
87,87," 'The strike hit a house in the city of Jabaliya, which has repeatedly come under attack as the Israeli military has pressed an offensive in northern Gaza.', 'web_url'"
88,88," 'The artist, who has supported the protests against the Tate group of museums, won the prestigious British award for an installation that includes a car covered by a giant doily.', 'web_url'"
89,89," 'The announcement on Sunday was the second time this weekend that President-elect Donald J. Trump offered an influential post to an in-law.', 'web_url'"
90,90," 'Diminished support for the Syrian government from Iran, Hezbollah and Russia enabled opposition forces to take the initiative and seize new territory.', 'web_url'"
91,91," 'Iran and Russia, both stretched by conflicts of their own, have experienced setbacks in Syria after a rebel offensive in the northwest of the country.', 'web_url'"
92,92," 'Arab Americans and liberal Jewish voters, however, have ample reason to fear the naming of pro-settlement, pro-Netanyahu officials to top foreign policy posts in the new administration.', 'web_url'"
93,93," 'Most of the medical staff at Kamal Adwan Hospital is gone. One of the last doctors working there shares his story.', 'web_url'"
94,94," 'Stereotyping Jewish women is dangerously common.', 'web_url'"
95,95," 'Rescue operations were underway after an Israeli airstrike on the village of Almat, Lebanon, north of Beirut, killed at least 23 people and wounded several others, Lebanon’s health ministry said.', 'web_url'"
96,96," 'Protecting land and appointing judges could go a long way toward bolstering Biden’s legacy.', 'web_url'"
97,97," 'A broader peace in the Middle East will be difficult to achieve, and Iran’s threat to Israel looms over any diplomatic effort.', 'web_url'"
98,98," 'The court ruled that Prime Minister Benjamin Netanyahu must take the stand on Dec. 2 in a trial that has stretched out for more than four years.', 'web_url'"
99,99," 'The world is braced for disruption from the president-elect, but he may find more common ground with President Biden than many assume.', 'web_url'"
100,100," 'Tens of thousands of people who had fled the city of Baalbek returned to bombed-out restaurants, flattened apartment buildings and many of the dead still buried under the rubble.', 'web_url'"
101,101," 'The strike in the Jbeil district of Lebanon came amid an apparent diplomatic push for a cease-fire between Israel and Hezbollah.', 'web_url'"
102,102," 'As Iran faces domestic and foreign challenges, its bellicose rhetoric on the United States and Israel has given way to signs that it wants less confrontation.', 'web_url'"
103,103," 'Gazans searched through the rubble after an Israeli strike hit two schools serving as shelters for the displaced.', 'web_url'"
104,104," 'The truce began Wednesday, bringing a fragile peace to Israel and Lebanon. Israeli troops are to withdraw in phases  from southern Lebanon, and Lebanese military convoys headed south to protect the peace.', 'web_url'"
105,105," 'The cease-fire between Israel and Hezbollah began on Wednesday, but much hardship and uncertainty lie ahead after a yearlong war that killed thousands and left widespread destruction in Lebanon.', 'web_url'"
106,106," 'Hezbollah has entered a cease-fire with Israel. Ben Hubbard, an international correspondent for The New York Times, explains how 13 months of war left Hezbollah weakened, isolated and desperate for a way to stop the fighting in Lebanon.', 'web_url'"
107,107," 'Israel has decimated Hezbollah’s senior leadership and military infrastructure.', 'web_url'"
108,108," 'Rebel groups have launched the largest offensive in years against government forces in the northwest.', 'web_url'"
109,109," 'Thirteen months of war left Hezbollah weakened, isolated and desperate for a way to stop the fighting.', 'web_url'"
110,110," 'Roads were packed with cars as people displaced from southern and eastern Lebanon began returning to their homes after a cease-fire deal between Israel and Hezbollah.', 'web_url'"
111,111," 'Under the cease-fire agreement, Israel will withdraw its forces from Lebanon over the next 60 days, while Hezbollah will retreat from southern Lebanon, where the Lebanese military and United Nations peacekeepers are expected to operate.', 'web_url'"
112,112," 'With a truce between Israel and Hezbollah taking hold, Gazans are losing hope that Israel’s war in the enclave will end anytime soon.', 'web_url'"
113,113," 'Hamas is unlikely to compromise in Gaza, despite the decision by its ally, Hezbollah, to stop fighting. A deal in Gaza would also be harder for Benjamin Netanyahu, the Israeli prime minister.', 'web_url'"
114,114," 'How the president-elect could change the Middle East — for the better.', 'web_url'"
115,115," 'The Foreign Ministry did not say outright that Prime Minister Benjamin Netanyahu of Israel would be free to travel to France, but it argued that an I.C.C. rule on immunity may apply to him.', 'web_url'"
116,116," 'The prime minister has replaced an experienced former general with Mr. Katz, who had been foreign minister and who has staunchly supported Israel’s right-wing government.', 'web_url'"
117,117," 'Even as President Biden brokers a cease-fire in Lebanon, President-elect Donald J. Trump is running his own foreign policy without waiting to be sworn in.', 'web_url'"
118,118," 'With a deal to end more than a year of fighting between Israel and Hezbollah, the president turns his attention back to stopping the war in Gaza before leaving office.', 'web_url'"
119,119," 'Top diplomats from the Group of 7 nations tried to project unity on Ukraine while discussing differences over Israel and anticipating the return of Donald J. Trump.', 'web_url'"
120,120," 'Three giant, shifting tectonic plates will have profound implications for the new administration.', 'web_url'"
121,121," 'Dutch and Israeli officials said the fans had been attacked in Amsterdam after tensions flared around an Israeli team’s visit.', 'web_url'"
122,122," 'The United States is pushing Israel to reach a deal with the Lebanese militia by Thanksgiving, even as key details remained unresolved, Israeli officials said.', 'web_url'"
123,123," 'Researchers are trying to understand why resistant pathogens are so prevalent in the war-torn nations of the Middle East.', 'web_url'"
124,124," 'Stricter rules and punishments over campus protests seem to be working. Universities have seen just under 950 protest events this semester, compared with 3,000 in the spring.', 'web_url'"
125,125," 'Many have used an old word to refer to recent events. Is it accurate?', 'web_url'"
126,126," 'Dutch and Israeli officials described the clashes after a soccer match as antisemitic. The violence followed confrontations and mounting tensions in the city.', 'web_url'"
127,127," 'The International Criminal Court said there will be an investigation into sexual misconduct allegations against Karim Khan, the court’s chief prosecutor.', 'web_url'"
128,128," 'The deadliest strikes hit the Bekaa Valley, in and around the historic city of Baalbek, overnight.', 'web_url'"
129,129," 'Key details still needed to be worked out between Israel and Hezbollah, and disagreements could scuttle or delay any deal, the officials said. But some cited reasons for cautious optimism.', 'web_url'"
130,130," 'Hungary, unlike the United States, is a signatory to the court, which accused the Israeli leader of war crimes in Gaza. Responses to the warrant from other European countries were varied.', 'web_url'"
131,131," 'Plus, a “Wicked” warning.', 'web_url'"
132,132," ""As Donald J. Trump nominates staunch supporters of Israel to key positions, advocacy groups are taking aim at the departing administration's policies."", 'web_url'"
133,133," 'In their new collections, Mosab Abu Toha and Najwan Darwish share unvarnished views of destruction, displacement and loss.', 'web_url'"
134,134," 'The court accused Benjamin Netanyahu and his former defense minister of having “intentionally and knowingly deprived” Gaza’s population of food, water, fuel and medicine.', 'web_url'"
135,135," 'The International Criminal Court’s arrest warrants for Israel’s Prime Minister Benjamin Netanyahu and his former defense minister, Yoav Gallant, were issued for war crimes and crimes against humanity in Gaza. The court also sought to arrest Hamas’s military chief, Muhammad Deif, for crimes against humanity.', 'web_url'"
136,136," 'More than 120 countries are members of the court. The United States, China, India, Russia and Israel are not.', 'web_url'"
137,137," 'The International Criminal Court said there were grounds to hold two Israeli leaders responsible for the crisis in Gaza, and a Hamas military leader for crimes against humanity.', 'web_url'"
138,138," 'Prime Minister Benjamin Netanyahu of Israel has allies among the members of the International Criminal Court. But he will have to plan his travel more carefully than before.', 'web_url'"
139,139," 'Karim Khan had asked the court to issue warrants for Hamas’s top leader in Gaza, Yahya Sinwar; its political leader, Ismail Haniyeh; and its military chief, Muhammad Deif.', 'web_url'"
140,140," 'Donald Trump staunchly supported Israel during his first term as president, even when that meant reversing decades of American policy.', 'web_url'"
141,141," 'Plus, a $6.2 million piece of fruit.', 'web_url'"
142,142," 'The airstrikes caused damage in Beirut’s southern suburbs and in the eastern city of Baalbek in the Bekaa region, where the Israeli military said it was targeting Hezbollah positions.', 'web_url'"
143,143," 'The United States said it vetoed the United Nations Security Council resolution calling for a cease-fire between Israel and Hamas, because it did not make the cease-fire contingent on the release of the hostages held in Gaza.', 'web_url'"
144,144," 'The U.S. veto at the U.N. came as the Biden administration’s envoy in Lebanon reported “additional progress” on cease-fire talks in the war between Israel and Hezbollah.', 'web_url'"
145,145," 'The United States, which has blocked four other resolutions, said it vetoed the most recent version because it did not make the release of hostages a precondition for a truce.', 'web_url'"
146,146," 'Middle East Airlines has managed to fly through regional and civil wars since the 1960s. And it is still in the skies today.', 'web_url'"
147,147," 'Over the years, he has been both a supporter and foe of Prime Minister Benjamin Netanyahu.', 'web_url'"
148,148," 'An individual with connections to Prime Minister Benjamin Netanyahu’s office is being investigated. Here’s what to know about how the furor began and what might happen next.', 'web_url'"
149,149," 'As he resists pressure to reach a cease-fire that would release the captives, Israel’s prime minister is now offering a reward for their freedom, while still vowing to punish anyone who hurts a hostage.', 'web_url'"
150,150, 'The president-elect has a starting point
151,151," 'UNRWA, the main U.N. agency aiding Palestinians, said its drivers were forced at gunpoint to unload supplies in what it called one of the worst such incidents of the war.', 'web_url'"
152,152," 'Israel’s military continued to target armed fighters in the northern part of the West Bank even as it conducts major operations in Gaza and Lebanon.', 'web_url'"
153,153," 'Most people in the enclave are struggling just to survive Israel’s assault on Hamas, and experts say famine is imminent. Yet a few pockets of ordinary life have bloomed in defiance of the war.', 'web_url'"
154,154," 'The military said the attacks were meant to reduce the transfer of weapons and intelligence from Iran through Syria to Hezbollah, the armed group in Lebanon.', 'web_url'"
155,155," 'The lawsuit aims to highlight Iran’s role in the attack that killed about 1,200 people as well as its support for Hamas and other terrorist groups.', 'web_url'"
156,156," 'Donald J. Trump won votes from Arab Americans and conservative pro-Israel Jews. Someone is likely to be disappointed.', 'web_url'"
157,157," 'President-elect Donald J. Trump’s agenda in the region is not yet clear, but the geopolitical landscape has changed significantly since he was last in office.', 'web_url'"
158,158," 'Displaced young Palestinians are chronicling their wartime routines on TikTok and Instagram, allowing their followers abroad to see a more personal side of the conflict.', 'web_url'"
159,159," 'The region has changed dramatically since the Oct. 7 attacks.', 'web_url'"
160,160," 'Institutions meant to promote civility, from soccer to song, have come under severe stress from rising antisemitism and anti-immigrant politics.', 'web_url'"
161,161," 'Patients and medical staff were wounded at Kamal Adwan Hospital, one of the few in northern Gaza still providing limited medical care, the health ministry and the hospital’s chief said.', 'web_url'"
162,162," 'Tensions among multiple sects in the country have long lurked just below the surface. As hundreds of thousands flee Israeli airstrikes in the south, those strains are worsening.', 'web_url'"
163,163," 'There is a belief in Prime Minister Benjamin Netanyahu’s right-wing Israeli government that a Trump administration will allow it to end its wars on favorable terms.', 'web_url'"
164,164," 'The ice cream maker claimed in a lawsuit that its parent company tried to stop it from expressing support for Palestinian refugees.', 'web_url'"
165,165," 'Aides to Benjamin Netanyahu are under investigation over accusations of leaks, record-doctoring and intimidation. The Israeli prime minister’s office denies the claims.', 'web_url'"
166,166," 'In the last year, museums, book festivals, arts journals and other organizations have experienced bitter discord over what qualifies as tolerable speech about the conflict and its combatants.', 'web_url'"
167,167," 'It appeared to be the deepest Israeli operation by sea and ground inside Lebanon during the current war.', 'web_url'"
168,168," 'Hamas and the Houthis have opened offices in Baghdad, reflecting the two groups’ evolving relationship with Iraq as Tehran works to build a regional power bloc.', 'web_url'"
169,169," 'Even with peace talks underway, the region is far from stable.', 'web_url'"
170,170," 'Plus, the streaming services you never knew about.', 'web_url'"
171,171," 'Complex negotiations involving several players are proceeding on two separate but related tracks.', 'web_url'"
172,172," 'The minister, Yoav Gallant, differed with Prime Minister Benjamin Netanyahu over the conduct of the war in Gaza and domestic political issues.', 'web_url'"
173,173," 'The Israeli military said its soldiers had engaged in close combat in the Nur Shams area of the occupied territory.', 'web_url'"
174,174," 'A host of problems that will need more subtle and sophisticated uses of force and coercive diplomacy will confront the new president.', 'web_url'"
175,175," 'Antisemitism is reaching the point of catastrophe, for Jews and for Europe itself.', 'web_url'"
176,176," 'Reversing itself, the Treasury Department said U.S. sanctions do not prohibit hearing from foreigners deemed to be terrorists or other offenders.', 'web_url'"
177,177," 'So far, 62 people have been detained in connection with unrest surrounding a soccer match as officials said they continue to investigate antisemitic attacks, as well as incendiary behavior by both sides.', 'web_url'"
178,178," 'Plus, Israel’s cycle of war in North Gaza.', 'web_url'"
179,179," 'An attack on culture divides the very people who should be in direct dialogue, reading one another’s books. It cannot be that the solution to conflict is to read less, not more.', 'web_url'"
180,180," 'The Biden administration sent envoys including the C.I.A. director to the Middle East this week, but Israel, Hezbollah and Hamas all appeared far from a deal to end the fighting.', 'web_url'"
181,181," 'In the volatile Caucasus region, Russia and Iran, often seen as united in their aims, are vying to secure trade routes and influence. That leaves Western countries facing an unusual dilemma.', 'web_url'"
182,182," 'Tens of thousands of U.S. citizens live in the Israeli-occupied territory, on opposing sides of an entrenched conflict, where neither Palestinians nor Israelis have much enthusiasm for Kamala Harris.', 'web_url'"
183,183," 'A total of eight people were being held in connection with last week’s violence, and unrest in the largest city in the Netherlands continued on Monday night.', 'web_url'"
184,184," 'It was unclear how or when Iran plans to respond, or whether the rhetoric could be bluster. Iranian officials had downplayed the damage of Israel’s last attack.', 'web_url'"
185,185," 'The Israeli military said they killed several militants during a raid in the West Bank, in an operation that residents and humanitarian groups said caused significant damage to infrastructure.', 'web_url'"
186,186," 'Benjamin Netanyahu, the Israeli prime minister, is on trial for bribery and fraud. Now he wants to delay giving testimony.', 'web_url'"
187,187," 'Leaders from across the Arab and Muslim world were in Riyadh for a meeting officially convened to discuss the fighting in Gaza and Lebanon.', 'web_url'"
188,188," 'Ms. Stefanik, who chairs the House Republican Conference, undertook a dramatic transformation that brought her to the center of Donald J. Trump’s orbit.', 'web_url'"
189,189," 'Some in Iran’s new, more moderate government think the result of the presidential election provides an opportunity to make a lasting deal with the United States.', 'web_url'"
190,190," 'Thousands of people, including prize-winning writers, signed a letter pledging not to work with “complicit” organizations. Many others opposed the call in a separate letter.', 'web_url'"
191,191," 'Hundreds of thousands of Syrians who escaped civil war at home over the past decade have now fled the conflict in Lebanon, seeking safety in their own shattered country.', 'web_url'"
192,192," 'His comments came as the Pentagon said it would send additional fighter jets and destroyers to the Middle East.', 'web_url'"
193,193," 'The Palestinian leader Mahmoud Abbas has met with Tiffany Trump’s father-in-law and written conciliatory letters to the president-elect, a strong supporter of Israel.', 'web_url'"
194,194," 'If liberals won’t discuss the devastating human costs of war, who will?', 'web_url'"
195,195," 'Humanitarian agencies fear the new Israeli laws could have catastrophic effects for Gazans. They are already drawing sharp criticism from Israel’s allies.', 'web_url'"
196,196," 'The Qatari Foreign Ministry announced it had stepped back from talks, saying it would resume once Israel and Hamas “show willingness and seriousness.”', 'web_url'"
197,197," 'The violence erupted around a soccer match between Israeli and Dutch teams in Amsterdam on Thursday.', 'web_url'"
198,198," 'The warning focused on the north comes as the Biden administration has set a mid-November deadline for Israel to deliver more humanitarian supplies to the enclave or face a cutoff of weapons aid.', 'web_url'"
199,199," 'Israel cut off electricity in the first days of the war, leaving Palestinians to light the dark with cellphones and to cook over open flames.', 'web_url'"
200,200," 'Israel’s military warned civilians to leave Baalbek in the Bekaa Valley via three routes. The city had largely been spared Israeli bombardment until this week.', 'web_url'"
201,201," 'Foreign leaders have rushed to ingratiate themselves with Donald J. Trump in recent days, nervously recalling the clashes, insults and feuds of his first presidency.', 'web_url'"
202,202," 'Residents had to dig through rubble in search of their neighbors after the main emergency service in Gaza said it had stopped operations in the north because it had come under Israeli attacks.', 'web_url'"
203,203," 'Gazan agencies said that children were among those killed in the strike in Beit Lahia. A U.S. State Department spokesman called the strike “a horrifying incident with a horrifying result.”', 'web_url'"
204,204," 'Footage shows a group of men, many wearing the colors of an Israeli soccer club, Maccabi Tel Aviv, appearing to attack a person and then scattering as emergency sirens could be heard approaching.', 'web_url'"
205,205," 'At least 1,085 buildings have been destroyed or badly damaged since Israel’s invasion targeting the Hezbollah militia, including many in controlled demolitions, a New York Times analysis shows.', 'web_url'"
206,206," 'Analysts said the Shahroud Space Center was likely used to produce intermediate-range ballistic missiles that could be used to target Israel.', 'web_url'"
207,207," 'The Baalbek district bore the brunt of Israel’s barrage, which officials said killed at least 60 people in the Bekaa Valley, in eastern Lebanon.', 'web_url'"
208,208," 'Any major progress on a cease-fire will probably have to wait until after January’s inauguration, analysts said. Gazans said they were divided about whether Mr. Trump would do much to stop the war.', 'web_url'"
209,209," 'The war in the Middle East has become this era’s most important progressive cause.', 'web_url'"
210,210," 'The barrage of Israeli airstrikes in the Bekaa Valley on Monday night killed at least 60 people, officials said. It appeared to be the deadliest attack in the area since the war escalated last month.', 'web_url'"
